iter	MultiClass
0	1.082852665
1	1.066954852
2	1.051636414
3	1.037336707
4	1.025217325
5	1.01074058
6	0.9972229132
7	0.9842600525
8	0.9716737429
9	0.9584005983
10	0.9454810259
11	0.9332312865
12	0.9217818706
13	0.9103453493
14	0.8991965997
15	0.8884163935
16	0.8773506446
17	0.8668135305
18	0.8561803683
19	0.8458817703
20	0.8356496123
21	0.8249284468
22	0.8145008605
23	0.8040501057
24	0.7951035117
25	0.7858410342
26	0.7767364377
27	0.7679236348
28	0.7591679078
29	0.7500799681
30	0.7413421528
31	0.7326378477
32	0.7246732763
33	0.7167840648
34	0.7080741935
35	0.6997010639
36	0.6913064894
37	0.6836177196
38	0.6758753841
39	0.6681136709
40	0.6603365045
41	0.6526321129
42	0.6458691513
43	0.6387447325
44	0.6322360429
45	0.6252303171
46	0.6181709109
47	0.6116390358
48	0.6049939397
49	0.598687501
50	0.5922317021
51	0.58613159
52	0.5797624365
53	0.5736621391
54	0.5679404507
55	0.5620449384
56	0.5565862945
57	0.5515799232
58	0.547023102
59	0.5415199522
60	0.5359886705
61	0.5305878909
62	0.5255192862
63	0.5202733434
64	0.5149243408
65	0.5094559856
66	0.5045384574
67	0.499624682
68	0.4942891253
69	0.4895759784
70	0.4843494948
71	0.4792845874
72	0.4749378893
73	0.4706112422
74	0.4659966194
75	0.4612216213
76	0.456450416
77	0.4522360228
78	0.4477943577
79	0.4432271773
80	0.4389984819
81	0.4344998712
82	0.4301657226
83	0.4263970139
84	0.4223148745
85	0.4184221579
86	0.4145974612
87	0.410627925
88	0.4072761106
89	0.4033644009
90	0.3997391901
91	0.3958630589
92	0.392123027
93	0.3882262934
94	0.3848444832
95	0.381248527
96	0.3776945715
97	0.3740438039
98	0.370680485
99	0.3673827212
100	0.3638559372
101	0.3605932627
102	0.3576737955
103	0.3544449421
104	0.35135316
105	0.3484261326
106	0.345241212
107	0.3423336409
108	0.339493641
109	0.3368070615
110	0.33371845
111	0.3307151776
112	0.327586538
113	0.3250703779
114	0.3226142367
115	0.3198069589
116	0.3173293216
117	0.3144483823
118	0.3114312226
119	0.3083807069
120	0.3057868745
121	0.3029417938
122	0.3001046393
123	0.2971856961
124	0.2945495412
125	0.2920158887
126	0.2892564138
127	0.2866877852
128	0.284422439
129	0.281843243
130	0.2794642038
131	0.2768371568
132	0.2742644981
133	0.2720513393
